,no_protease,c_0.000M,c_0.421M,c_0.842M,c_1.263M,c_1.684M,c_2.105M,c_2.526M,c_2.947M,c_3.368M,c_3.789M,c_4.211M,c_4.632M,c_5.053M,c_5.474M,c_5.895M,c_6.316M,c_6.737M,c_7.158M,c_7.579M,c_8.000M
prot_002173,119,52,34,18,2,3,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0
prot_002174,71,66,108,83,84,43,55,30,10,8,8,2,1,0,0,4,0,0,1,26,0
prot_002175,100,82,144,115,164,99,145,139,59,20,7,11,0,6,4,0,0,3,0,15,0
prot_002176,33,32,34,47,43,36,47,43,25,22,15,11,4,3,0,4,3,2,0,0,5
prot_002177,60,38,98,64,77,75,120,105,132,154,188,243,224,208,231,203,165,61,23,2,0
prot_002178,44,35,46,31,28,4,6,1,1,0,0,2,0,0,3,2,0,3,1,4,0
prot_002179,72,55,93,80,129,79,140,164,150,179,237,293,280,334,461,679,741,817,962,1246,917
prot_002180,80,72,106,109,122,78,140,156,159,199,251,288,220,190,147,35,47,11,0,0,0
prot_002181,74,71,80,106,111,72,157,159,175,183,226,339,260,267,186,98,25,17,0,0,12
prot_002182,64,60,77,76,110,68,114,128,107,171,175,180,79,46,22,7,2,9,0,23,0
prot_002183,52,17,10,3,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5
prot_002184,77,56,100,88,102,69,146,135,132,138,185,159,102,87,63,64,35,15,2,0,0
prot_002185,88,41,38,20,22,4,0,1,1,1,0,0,0,0,0,0,2,0,0,21,0
prot_002186,66,46,88,69,91,61,143,106,166,180,186,266,217,214,208,133,84,27,11,0,0
prot_002187,52,47,69,73,88,70,97,105,77,92,55,44,14,5,5,1,0,0,13,0,3
prot_002188,53,30,53,41,33,8,13,5,2,0,0,0,0,0,0,3,0,0,11,8,11
prot_002189,49,48,74,59,75,61,98,89,102,111,132,164,62,44,5,3,2,2,0,6,0
prot_002190,67,19,12,1,2,1,0,0,1,0,0,0,0,4,0,0,0,9,0,0,0
prot_002191,57,49,77,83,80,61,89,72,62,55,29,11,6,7,0,3,3,2,0,0,3
prot_002192,63,59,91,66,100,65,115,122,112,146,127,75,19,8,2,1,0,0,8,0,0
prot_002193,114,10,3,4,0,0,0,4,0,1,0,4,0,0,0,4,0,0,11,0,1
prot_002194,70,69,97,88,122,71,63,29,12,2,2,0,0,0,1,0,0,0,13,0,0
prot_002195,55,46,64,57,85,54,123,121,101,146,145,227,229,225,296,438,425,327,236,168,86
prot_002196,45,4,3,2,1,0,1,0,0,0,0,0,0,0,0,1,7,0,5,6,2
prot_002197,157,107,230,197,213,171,315,263,258,236,172,164,72,35,22,3,7,0,19,0,10
prot_002198,128,76,107,53,29,3,4,0,2,0,0,0,5,0,4,0,0,0,0,0,0
prot_002199,89,69,146,89,148,84,175,175,138,142,122,54,25,9,6,7,5,12,0,0,5
prot_002200,130,28,20,18,2,1,3,0,0,0,0,0,0,0,6,0,0,0,6,0,29
prot_002201,102,87,142,134,169,112,199,199,213,273,310,401,389,461,639,869,1086,1071,1248,1560,1042
prot_002202,74,60,85,81,103,87,149,147,136,189,207,254,138,90,43,18,4,3,1,0,9
prot_002203,42,22,25,5,3,2,2,2,1,0,0,0,1,0,0,0,0,6,3,1,0
prot_002204,174,141,214,130,88,18,19,1,0,1,0,0,0,0,1,10,4,3,0,0,1
prot_002205,62,52,71,70,88,71,134,128,113,103,91,55,21,8,4,9,6,0,3,0,9
prot_002206,80,70,120,100,127,87,138,161,146,174,200,192,82,35,25,11,4,0,1,0,0
prot_002207,83,72,110,92,108,69,91,57,25,15,2,1,2,0,0,4,0,2,11,32,0
prot_002208,77,20,22,17,6,4,6,2,0,0,2,1,1,0,0,2,0,0,0,0,0
prot_002209,82,19,13,4,2,1,2,0,0,0,0,0,0,0,0,1,0,9,7,5,10
prot_002210,93,79,135,126,149,104,202,181,169,254,284,349,359,452,564,786,987,969,1370,2043,2024
prot_002211,64,62,96,69,98,60,83,50,17,7,3,0,0,0,1,0,3,9,0,2,0
prot_002212,77,60,111,87,104,89,150,137,160,208,236,296,239,184,154,70,40,8,12,14,5
prot_002213,89,74,99,123,149,95,93,53,21,13,1,9,0,3,2,1,2,0,0,0,0
prot_002214,72,54,100,101,130,76,141,140,150,172,217,258,290,312,302,228,118,59,20,24,15
prot_002215,139,19,8,6,4,1,0,2,0,0,0,0,0,0,4,0,0,1,0,10,0
prot_002216,76,17,9,2,1,0,0,0,0,0,0,4,0,3,1,0,0,0,0,14,0
prot_002217,149,137,247,203,258,143,284,302,304,369,465,624,554,513,512,361,149,40,0,6,0
prot_002218,40,35,64,65,42,46,87,82,80,110,120,143,121,101,49,18,10,3,0,0,0
prot_002219,109,108,125,90,50,10,5,0,0,0,0,0,0,0,0,0,11,0,0,28,0
prot_002220,59,38,75,61,64,33,27,14,9,1,0,0,0,0,0,0,8,7,3,20,3
prot_002221,62,54,82,91,95,56,85,43,26,12,7,0,1,2,0,0,6,0,0,7,6
prot_002222,116,83,125,123,167,62,79,24,11,6,3,0,3,0,0,0,7,0,0,0,18
prot_002223,63,29,27,20,11,8,4,3,3,2,0,1,0,0,3,5,0,0,0,1,0
prot_002224,225,188,293,276,314,225,468,370,449,545,668,949,873,1004,1390,1918,1990,2243,2673,3834,2263
prot_002225,112,77,123,86,68,20,23,11,6,2,3,4,4,0,0,5,0,0,0,7,4
prot_002226,59,62,75,61,88,54,112,101,103,127,156,145,126,86,45,29,25,17,10,10,0
prot_002227,83,10,4,2,2,0,0,0,0,0,0,3,2,0,0,10,0,0,5,0,0
prot_002228,81,3,14,2,1,2,0,0,2,0,1,1,0,3,0,2,1,0,0,0,2
prot_002229,115,85,171,141,183,123,200,233,246,229,213,189,117,38,26,27,6,0,1,15,0
prot_002230,78,68,103,82,58,26,25,14,8,1,4,0,0,0,8,0,2,0,0,0,2
prot_002231,90,83,128,112,129,89,171,179,160,121,62,20,9,2,0,0,0,1,0,2,9
prot_002232,92,15,8,2,1,0,0,1,0,0,2,0,4,0,0,15,0,0,0,5,3
prot_002233,70,67,82,75,105,69,144,130,150,168,215,278,264,324,395,431,306,123,72,39,17
prot_002234,133,99,169,171,225,130,268,238,223,315,419,498,425,600,543,421,327,189,124,59,1
prot_002235,39,21,60,44,56,39,85,78,69,93,107,138,116,125,105,57,27,11,5,0,0
prot_002236,98,20,30,9,4,1,2,1,0,1,0,0,1,2,0,0,10,0,34,0,4
prot_002237,47,44,53,50,34,18,19,9,4,0,0,0,1,1,0,0,0,0,0,0,0
prot_002238,46,39,72,53,62,27,44,23,16,15,9,1,1,0,1,2,0,0,0,0,4
prot_002239,63,48,88,84,96,54,104,124,93,98,75,40,13,10,7,3,4,1,4,0,5
prot_002240,68,34,75,48,68,21,12,9,2,1,4,1,2,0,1,2,0,2,0,7,0
prot_002241,73,8,2,1,0,0,0,1,2,0,0,1,0,0,2,2,0,6,1,7,0
prot_002242,76,56,107,88,64,25,37,10,4,5,0,0,0,0,2,0,8,7,0,0,0
prot_002243,99,56,69,29,11,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,16
prot_002244,79,57,107,101,83,34,39,12,4,8,0,0,0,1,0,0,8,0,6,0,0
prot_002245,140,78,87,26,20,1,1,5,0,1,0,0,0,0,0,12,1,0,0,0,0
prot_002246,80,46,71,67,41,10,5,3,0,2,0,0,0,0,3,0,1,0,7,0,2
prot_002247,46,45,54,65,66,51,95,101,98,99,105,137,122,82,49,51,22,9,4,11,0
prot_002248,59,52,68,57,100,56,59,29,18,14,4,5,3,5,0,0,6,0,16,0,0
prot_002249,73,63,102,92,98,55,44,34,19,4,4,2,0,0,0,0,0,0,0,2,4
prot_002250,21,15,32,28,24,16,43,42,37,42,58,69,57,52,55,70,49,29,10,18,9
prot_002251,125,75,160,156,193,120,269,257,250,314,364,508,435,619,708,715,700,456,285,295,123
prot_002252,84,78,109,93,61,29,7,0,1,1,0,1,3,1,0,4,5,1,0,19,0
prot_002253,56,37,64,58,91,57,111,108,82,69,26,15,9,2,5,0,0,0,7,0,5
prot_002254,40,41,39,48,71,44,103,91,69,96,122,146,164,205,232,335,366,361,379,385,172
prot_002255,106,82,151,119,167,121,189,149,95,44,24,6,4,2,0,0,0,5,0,0,2
prot_002256,96,75,125,125,158,110,206,186,228,240,304,390,384,425,588,867,1017,1115,1369,2302,2115
prot_002257,68,61,106,86,94,69,116,130,117,160,214,251,202,174,119,101,30,1,9,0,5
prot_002258,55,6,3,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,2,9
prot_002259,99,91,122,111,137,86,93,71,36,17,9,6,0,1,5,2,1,0,6,0,29
prot_002260,84,64,138,107,116,91,172,156,160,206,244,355,308,370,425,577,537,420,295,282,130
prot_002261,93,74,103,130,158,78,193,200,206,246,280,373,358,394,631,838,943,956,1091,1376,690
prot_002262,55,52,78,67,95,34,24,16,6,2,0,0,0,0,0,0,0,0,4,0,0
prot_002263,75,11,6,2,1,0,0,0,0,0,0,0,2,2,0,0,5,0,5,20,0
prot_002264,72,77,100,88,101,68,153,152,125,177,158,174,132,97,81,50,31,14,9,11,3
prot_002265,110,30,13,4,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,6,0
prot_002266,136,113,150,160,174,139,289,270,265,334,420,501,489,625,813,1006,748,594,457,390,166
prot_002267,148,132,203,190,222,150,275,232,157,154,75,48,18,13,13,6,0,14,6,5,1
prot_002268,123,92,180,169,198,146,245,257,264,316,377,450,431,507,602,570,385,229,154,150,64
prot_002269,170,120,228,213,271,193,323,361,322,449,535,660,639,798,1095,1417,1733,1445,1363,1702,1123
prot_002270,121,96,172,137,186,121,249,249,253,287,269,288,124,141,57,31,16,0,7,1,0
prot_002271,62,58,73,85,102,73,118,125,81,96,38,32,5,1,0,0,0,2,0,3,5
prot_002272,142,116,189,190,204,139,306,282,260,292,264,126,66,18,14,6,0,5,5,27,8
prot_002273,40,35,55,48,69,36,65,91,93,101,128,149,150,187,195,241,231,124,69,66,17
prot_002274,206,170,271,290,324,203,383,430,397,499,623,788,772,1005,1248,1697,2010,1725,1935,2119,1058
prot_002275,55,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,0
prot_002276,118,104,172,137,195,125,203,227,133,108,39,15,14,3,1,0,0,9,0,23,20
prot_002277,138,81,86,46,24,4,5,3,0,1,0,0,0,0,0,2,12,1,0,0,0
prot_002278,92,83,137,125,129,103,152,197,186,232,251,335,315,362,390,252,152,55,17,38,13
prot_002279,42,38,69,59,60,39,87,72,70,94,102,97,59,27,12,11,12,8,0,0,4
prot_002280,47,48,60,66,64,24,59,36,16,7,1,0,1,0,1,0,0,0,0,4,7
prot_002281,89,46,46,17,14,5,2,0,2,1,2,0,0,0,0,4,9,0,6,0,0
prot_002282,93,73,95,100,64,18,15,5,0,3,0,0,3,0,2,0,0,0,13,3,0
prot_002283,64,43,96,81,114,64,114,104,54,37,4,4,1,1,2,0,6,0,0,6,7
prot_002284,78,46,38,19,6,1,0,1,1,0,1,0,1,0,3,0,7,10,0,3,9
prot_002285,40,7,9,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
prot_002286,155,132,190,211,207,156,260,311,346,406,458,619,581,655,717,652,465,154,117,45,19
prot_002287,62,57,85,46,98,63,127,97,127,157,166,233,231,213,272,275,153,128,61,48,20
prot_002288,108,47,60,27,9,0,0,3,0,0,0,0,0,0,5,0,0,0,14,1,6
prot_002289,128,103,141,123,77,26,17,6,0,0,6,1,2,0,0,0,11,4,6,7,27
prot_002290,59,43,84,77,90,52,122,124,123,154,173,227,217,270,423,592,567,490,605,716,358
prot_002291,82,70,108,96,148,85,162,147,138,160,115,112,34,9,6,9,0,0,16,18,12
prot_002292,107,91,126,157,128,101,200,224,213,195,185,113,37,27,25,12,0,0,0,21,3
prot_002293,56,38,70,51,62,20,22,20,2,2,1,0,0,0,5,0,0,0,7,7,0
prot_002294,105,90,129,83,63,14,9,4,3,0,1,3,1,1,1,0,25,0,1,0,7
prot_002295,76,2,1,2,0,0,1,0,0,1,0,0,0,0,0,4,2,14,0,0,0
prot_002296,77,59,120,87,111,60,177,137,159,167,139,88,34,10,14,2,0,0,0,7,0
prot_002297,68,0,1,0,0,0,0,1,0,2,0,0,0,3,2,1,10,0,0,0,0
prot_002298,170,7,4,1,1,0,0,0,0,0,1,1,0,0,0,5,9,12,11,11,0
prot_002299,61,49,70,76,97,70,122,117,116,165,181,192,183,144,199,133,75,30,26,14,0
prot_002300,110,81,154,133,168,117,191,225,199,250,282,452,380,527,632,975,798,523,422,323,124
prot_002301,143,122,168,176,201,159,267,296,275,371,403,462,297,238,114,51,56,9,9,8,0
prot_002302,56,48,75,65,86,41,70,54,14,8,6,5,0,0,1,0,3,0,0,0,7
prot_002303,68,61,92,68,95,75,105,63,44,18,10,10,4,0,1,0,0,1,6,7,0
prot_002304,49,39,80,67,100,39,44,44,24,7,4,4,1,0,0,0,0,0,0,0,3
prot_002305,27,27,26,22,16,5,2,2,1,0,0,0,0,0,2,0,0,0,1,4,3
prot_002306,44,26,63,63,72,55,88,82,70,59,36,28,8,5,4,1,1,3,2,0,5
prot_002307,70,64,100,72,75,30,8,2,0,0,0,0,1,0,0,0,0,7,0,0,0
prot_002308,83,62,118,113,126,97,170,107,115,87,36,18,9,4,0,0,3,0,7,0,0
prot_002309,78,74,97,101,107,76,125,142,147,202,209,334,308,377,493,734,812,767,960,1165,770
prot_002310,72,69,104,100,99,72,137,169,143,177,222,264,269,334,468,613,584,477,366,182,120
prot_002311,50,5,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,1,0
prot_002312,81,71,106,92,106,66,81,39,13,11,3,2,0,0,0,0,0,0,3,15,0
prot_002313,129,65,64,40,30,5,6,7,1,2,4,0,4,0,0,5,7,3,24,12,12
prot_002314,130,111,169,152,153,83,87,76,42,27,6,8,9,0,0,10,0,0,0,0,5
prot_002315,66,58,82,33,26,9,7,1,0,1,0,0,0,4,0,3,3,4,6,0,9
prot_002316,91,39,30,31,15,7,10,2,1,0,0,0,0,2,0,3,0,2,0,0,1
prot_002317,67,46,101,73,110,65,126,133,138,174,175,274,261,334,354,505,617,394,377,339,164
prot_002318,76,70,87,94,126,85,135,75,45,21,10,7,0,1,0,1,4,0,0,15,2
prot_002319,80,81,108,103,131,74,149,165,137,210,226,327,306,345,521,611,573,502,386,238,81
prot_002320,85,6,0,0,0,0,0,1,0,5,2,2,0,3,0,10,0,8,8,0,0
prot_002321,45,2,2,0,1,0,1,1,0,0,1,0,0,3,2,1,0,0,2,4,0
prot_002322,110,86,148,130,161,116,140,139,87,55,38,31,10,6,3,22,11,15,7,0,10
prot_002323,67,11,11,3,1,0,0,0,0,1,0,0,0,5,3,0,3,0,0,0,0
prot_002324,84,62,85,79,69,16,12,6,3,1,1,0,0,0,4,4,0,0,1,0,0
prot_002325,127,88,157,155,193,144,249,261,243,331,367,445,476,643,740,1169,1314,1218,1595,1929,1167
prot_002326,112,65,72,31,16,3,4,0,0,3,0,0,4,0,0,0,0,2,4,0,0
prot_002327,91,45,60,38,8,2,1,0,1,0,1,0,0,0,0,0,0,0,9,7,0
prot_002328,37,37,69,49,52,42,78,70,71,83,68,59,29,25,12,5,0,0,4,4,0
prot_002329,63,39,83,81,93,72,111,127,127,134,112,155,74,62,56,39,24,7,9,4,19
prot_002330,95,94,134,135,122,97,197,154,122,115,68,34,21,6,4,0,0,1,0,2,8
prot_002331,105,80,138,120,143,75,55,26,11,5,1,0,4,4,0,6,0,0,6,0,25
prot_002332,92,79,135,126,136,94,173,200,181,254,249,329,312,421,507,633,500,304,231,159,49
prot_002333,77,17,16,6,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
prot_002334,47,40,70,69,87,38,60,33,10,8,0,2,0,0,0,1,2,0,4,2,0
prot_002335,88,78,104,105,129,81,153,181,171,198,159,125,59,27,16,13,9,2,6,0,2
prot_002336,50,45,77,66,75,53,79,103,110,112,153,180,194,194,240,234,178,68,31,32,17
prot_002337,81,71,108,81,56,20,9,6,1,0,0,0,1,0,0,0,1,0,3,2,1
prot_002338,55,47,73,68,88,58,122,90,73,33,19,10,5,0,0,0,0,0,0,0,0
prot_002339,45,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0
prot_002340,90,43,38,13,5,3,2,0,0,3,0,0,0,1,0,3,3,0,2,0,0
prot_002341,94,7,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,12,0
prot_002342,83,61,105,105,140,90,170,143,165,208,231,292,178,109,93,48,17,11,0,0,16
prot_002343,54,31,52,32,17,2,3,0,0,0,0,0,0,0,0,3,1,2,2,0,14
prot_002344,33,26,46,41,48,35,77,59,70,93,99,120,102,118,137,113,82,39,29,9,2
prot_002345,81,8,5,4,4,0,2,1,0,0,0,3,0,2,0,4,11,6,0,0,0
prot_002346,41,32,58,56,53,41,73,75,97,108,151,138,95,38,21,6,6,0,0,2,2
prot_002347,116,87,151,146,182,109,233,242,224,273,335,439,409,380,339,226,106,47,17,4,0
prot_002348,56,9,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3
prot_002349,195,12,7,5,1,0,4,5,0,5,0,0,0,1,1,0,1,0,45,0,0
prot_002350,50,6,4,1,0,2,4,0,0,0,0,0,0,0,4,0,4,0,9,0,4
prot_002351,84,71,112,118,130,87,146,155,194,200,150,80,20,7,0,0,3,4,0,4,22
prot_002352,59,46,51,22,15,2,2,3,0,0,0,0,0,0,6,0,1,0,0,2,3
prot_002353,84,78,114,113,138,74,165,171,182,141,119,70,30,16,23,5,2,0,10,0,0
prot_002354,98,86,137,130,153,71,96,34,22,14,14,4,1,1,0,3,0,2,0,13,9
prot_002355,114,89,143,123,196,113,204,230,206,314,382,410,454,506,677,796,752,515,386,283,135
prot_002356,104,82,155,135,157,93,189,145,102,89,42,37,15,2,11,1,0,2,0,4,0
prot_002357,124,91,156,162,154,110,218,237,170,179,135,80,44,24,25,16,8,0,0,0,3
prot_002358,138,102,171,187,237,141,290,260,278,340,418,570,564,715,799,1322,1463,1504,2111,3386,3148
prot_002359,67,18,17,14,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,6,0
prot_002360,103,72,142,135,152,105,200,213,203,239,307,433,414,440,662,961,1063,971,1254,1616,911
prot_002361,71,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0
prot_002362,116,92,167,136,179,125,184,190,151,107,72,69,31,12,6,19,1,0,0,0,31
prot_002363,83,54,118,88,122,85,172,176,177,219,261,325,248,291,305,212,115,23,14,12,0
prot_002364,88,81,133,120,148,82,166,180,128,114,92,46,14,3,0,8,0,3,11,20,0
prot_002365,96,97,117,119,166,114,174,170,170,192,249,238,136,104,35,35,4,7,1,2,0
prot_002366,111,88,129,96,44,21,10,7,0,0,2,0,1,0,5,4,7,0,3,0,22
prot_002367,68,68,94,79,91,51,57,37,12,5,3,1,1,0,7,5,0,0,0,1,15
prot_002368,42,30,47,73,55,28,36,19,8,2,1,1,0,0,4,2,5,0,0,8,8
prot_002369,115,111,166,160,170,103,160,84,40,26,5,1,0,0,0,0,0,9,1,0,5
prot_002370,138,111,188,164,159,68,66,15,3,8,0,4,0,0,0,0,0,0,0,0,7
prot_002371,82,61,102,71,41,7,3,2,1,5,0,0,0,1,0,0,5,0,0,3,3
prot_002372,116,84,142,108,153,72,99,70,52,33,10,24,6,2,11,13,0,0,0,2,4
prot_002373,32,14,43,17,18,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4
prot_002374,64,57,82,74,59,24,33,10,9,1,1,0,0,2,2,5,0,0,0,7,0
prot_002375,87,31,29,4,5,2,4,0,0,0,0,0,1,0,0,8,0,0,15,12,0
prot_002376,45,46,67,61,68,55,92,101,100,122,152,187,188,217,317,436,441,495,649,851,712
prot_002377,36,37,42,44,60,45,68,71,70,84,83,114,125,100,135,101,72,37,20,8,8
prot_002378,76,17,15,5,2,0,0,0,0,0,1,0,2,0,4,3,0,3,0,5,7
prot_002379,74,58,91,91,116,64,134,161,135,176,212,221,204,169,140,98,66,26,20,1,0
prot_002380,77,59,86,99,120,68,156,173,168,175,230,333,272,369,462,693,741,819,872,1202,752
prot_002381,75,61,69,40,28,12,14,1,5,3,0,0,0,2,4,3,0,0,2,0,0
prot_002382,43,18,11,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,8,1
prot_002383,74,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,8,32,3
prot_002384,67,9,4,1,2,0,0,0,1,0,0,7,0,0,0,0,0,3,0,3,1
prot_002385,67,50,84,86,98,65,153,149,148,168,189,247,239,283,336,314,351,238,138,100,41
prot_002386,70,41,93,90,117,73,141,133,143,181,179,332,288,281,454,625,686,821,1002,1609,1605
prot_002387,75,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0
prot_002388,119,104,173,146,172,118,230,243,217,299,316,315,248,136,89,51,4,7,14,3,6
prot_002389,76,5,0,3,3,1,0,0,0,0,3,0,0,4,0,0,0,0,7,5,9
prot_002390,35,31,52,47,48,29,74,73,78,64,60,66,31,14,13,4,5,4,2,0,3
prot_002391,41,29,57,45,56,33,63,81,87,78,63,44,10,6,0,0,0,2,6,0,0
prot_002392,118,86,169,109,110,66,45,11,6,1,0,1,0,2,0,6,1,0,0,19,0
prot_002393,55,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2,0,10,0,1,0
prot_002394,80,64,104,106,119,84,130,169,173,150,153,151,73,47,36,30,12,5,5,0,1
prot_002395,153,122,221,228,248,151,321,317,290,377,477,524,548,740,945,1379,1270,1143,978,855,319
prot_002396,85,66,91,46,31,4,9,0,1,0,0,2,4,0,0,6,0,0,18,14,7
prot_002397,40,13,22,11,7,2,1,1,0,0,2,0,0,0,0,0,0,1,0,7,1
prot_002398,120,25,25,11,1,1,0,1,1,0,0,0,0,0,2,4,0,0,0,19,0
prot_002399,80,67,101,97,125,91,148,162,125,147,100,76,39,22,34,17,0,0,0,2,3
prot_002400,99,97,128,133,152,109,192,187,160,137,71,55,6,9,8,2,0,19,0,10,0
prot_002401,90,76,128,96,131,104,198,158,186,239,237,363,364,407,553,729,737,614,634,525,321
prot_002402,127,95,197,177,196,153,238,262,260,293,311,364,220,109,55,13,18,4,0,0,8
prot_002403,79,82,105,103,116,70,164,170,154,213,225,269,299,322,379,388,192,70,53,42,12
prot_002404,45,42,49,54,69,47,99,86,89,111,133,179,168,189,149,159,102,61,38,17,0
prot_002405,90,58,58,43,34,9,4,1,6,1,3,0,5,4,6,0,0,0,0,0,30
prot_002406,42,20,62,56,56,41,79,76,68,83,56,39,20,10,5,0,5,2,0,0,4
prot_002407,152,95,184,155,133,60,39,25,5,9,8,5,3,0,6,0,0,5,5,0,2
prot_002408,78,58,87,74,64,22,17,7,2,3,1,4,0,0,0,0,11,0,0,2,2
prot_002409,56,57,74,69,100,57,101,110,105,132,185,187,226,225,299,209,128,55,25,17,7
prot_002410,56,45,75,75,82,54,104,113,116,131,159,166,135,107,92,47,18,11,13,9,0
prot_002411,106,113,168,129,149,108,210,225,206,241,309,419,399,522,692,941,986,906,1341,1590,986
prot_002412,95,96,140,108,126,61,96,83,24,11,7,3,0,4,0,0,0,1,0,8,6
prot_002413,71,48,93,89,121,81,155,118,102,89,80,53,28,22,2,1,8,1,2,5,3
prot_002414,102,90,120,121,157,73,82,41,9,3,0,1,0,6,5,4,0,0,0,0,0
prot_002415,78,12,10,0,1,0,0,1,0,1,0,0,0,4,1,0,5,1,4,1,0
prot_002416,86,61,85,52,13,6,4,0,0,0,1,0,2,0,1,2,0,1,0,0,0
prot_002417,46,44,56,57,63,52,93,80,89,85,58,51,32,12,14,4,1,2,0,0,2
prot_002418,197,29,14,5,2,0,0,0,0,2,0,2,0,0,0,0,11,3,21,0,18
prot_002419,128,94,138,166,210,136,275,258,295,331,388,538,449,596,761,1107,1170,1040,1148,1313,625
prot_002420,114,28,30,7,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0
prot_002421,126,67,66,31,7,1,2,0,1,0,0,0,0,1,2,0,0,4,1,0,14
prot_002422,81,68,132,92,127,83,164,155,169,213,205,237,165,134,72,39,16,1,3,0,0
prot_002423,64,9,6,9,3,0,1,1,0,2,0,0,0,1,0,0,4,0,0,0,0
prot_002424,25,21,29,25,45,24,42,49,57,63,68,97,98,122,139,188,160,107,53,39,17
prot_002425,49,48,60,66,74,58,95,103,92,127,156,158,103,55,41,28,13,2,0,0,0
prot_002426,173,13,8,10,4,0,0,1,0,8,0,0,14,0,7,0,14,0,0,20,8
prot_002427,134,98,194,178,185,146,265,254,278,284,368,330,199,121,58,25,19,7,8,16,0
prot_002428,90,72,106,112,135,82,174,185,178,231,269,340,317,304,314,392,268,183,129,73,23
prot_002429,37,26,48,43,56,36,72,74,89,111,96,157,126,192,265,298,379,402,518,816,635
prot_002430,104,102,155,143,158,123,204,205,210,274,295,418,392,479,644,736,822,699,670,480,235
prot_002431,61,45,94,80,98,60,127,145,112,155,148,163,101,55,36,5,5,1,0,0,0
prot_002432,117,97,155,131,184,109,229,228,214,300,341,424,372,482,634,827,843,750,666,790,605
prot_002433,52,34,70,50,45,26,38,14,10,4,0,0,0,1,0,0,4,0,0,1,0
prot_002434,73,50,98,102,104,78,159,147,136,173,226,291,252,329,417,539,520,471,334,329,180
prot_002435,114,97,167,125,170,124,222,215,246,330,329,476,396,527,681,941,1078,904,872,818,349
prot_002436,146,106,216,206,214,166,239,143,52,6,1,6,8,6,0,3,5,9,6,0,9
prot_002437,71,58,93,86,112,94,147,149,154,165,167,167,110,97,41,27,9,6,5,4,0
prot_002438,46,38,53,59,73,39,75,48,24,10,2,8,0,0,0,1,0,5,0,5,7
prot_002439,117,91,137,136,193,127,209,266,245,280,308,211,126,44,14,6,6,0,6,12,10
prot_002440,45,39,66,65,60,38,72,80,90,127,152,172,170,195,308,410,424,280,297,250,113
prot_002441,45,21,17,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
prot_002442,92,54,42,9,4,4,2,3,0,0,2,0,0,0,0,1,0,0,0,13,0
prot_002443,211,172,310,247,326,208,407,326,243,119,79,20,12,6,11,16,0,9,0,6,24
prot_002444,49,46,82,58,64,48,82,56,21,11,9,1,0,0,0,0,0,3,4,0,0
prot_002445,67,67,114,80,125,72,137,114,99,105,74,53,18,8,4,7,1,0,8,0,0
prot_002446,85,3,2,2,1,1,0,0,0,1,0,0,1,4,2,1,0,1,1,0,0
prot_002447,58,55,75,75,73,33,32,14,4,1,1,0,0,3,0,0,3,0,8,9,10
prot_002448,41,35,66,47,56,45,77,69,70,77,72,48,23,15,5,2,6,0,0,0,0
prot_002449,93,67,126,128,158,113,180,150,76,32,21,2,2,2,0,0,0,0,0,2,3
prot_002450,72,63,86,102,125,74,119,134,128,184,216,252,212,205,146,119,98,31,21,34,21
prot_002451,114,77,152,133,153,122,252,226,188,189,139,45,11,3,4,0,9,1,2,19,0
prot_002452,66,40,106,75,121,68,111,119,131,120,57,55,21,10,7,10,0,5,0,4,0
prot_002453,142,102,187,186,184,128,325,289,334,374,430,564,552,659,855,933,909,519,415,346,219
prot_002454,63,63,87,66,103,62,125,116,96,97,50,41,20,5,5,0,0,8,0,3,0
prot_002455,59,40,84,71,78,57,125,114,88,97,72,59,23,22,6,3,3,5,1,0,0
prot_002456,138,116,159,174,199,127,245,272,226,271,212,111,74,45,9,0,3,0,0,0,9
prot_002457,33,7,11,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0
prot_002458,85,64,86,64,44,19,4,4,0,1,2,0,0,0,1,6,5,0,0,0,4
prot_002459,70,56,82,96,101,49,111,89,36,20,5,7,0,0,0,0,0,4,0,0,3
